标题,楼盘,地址,户型,面积,楼层,年代,价格
南坪协信城 86平 3室2厅 诚心出售 采光好 离轻轨近,协信城,"南岸南坪江南大道26号,南城大道1号",3室2厅1卫,86.2㎡,低层(共32层),2011年建造,16483元/㎡
毛坯 3室2厅 91平 145万 满二,首地江山赋,渝北悦来悦山路5号,3室2厅1卫,91.8㎡,低层(共33层),2016年建造,15799元/㎡
南岸区CBD，清水3房，安心出售，看了再谈价格,国际社区观园(1期),南岸弹子石腾龙大道,3室2厅2卫,90㎡,低层(共33层),2010年建造,16667元/㎡
龙湖源著南区清水两房，住家舒适 出门即轻轨天街,龙湖源著(南区),江北南桥寺福泉路26号,2室2厅1卫,85㎡,低层(共32层),2012年建造,23295元/㎡
小区环境好 配套齐全,富悦麓山别苑,渝北空港新城桂馥大道6号,3室2厅1卫,86㎡,低层(共26层),2017年建造,17675元/㎡
南桥寺，保利品质大盘精装三房带车位，小区成熟，绿化好住家安静,保利香雪,江北南桥寺盘溪路150号,3室2厅2卫,99㎡,低层(共32层),2012年建造,18680元/㎡
精装修 满二  住房 富力现代广场 145万 电梯房 诚心出,富力现代广场,南岸弹子石弹子石新街59号,2室2厅1卫,85.5㎡,低层(共33层),2007年建造,16969元/㎡
鲁能泰山7号六街区 185万 3室2厅 电梯房 房东急置换,鲁能泰山7号六街区,渝北中央公园公园西路,3室2厅2卫,96㎡,低层(共25层),2018年建造,19271元/㎡
新上！融创茂，精装三房，拎包入住，业主急售，！,万达文化旅游城御林组团,沙坪坝土主西桂路12号,3室2厅2卫,90㎡,低层(共32层),2018年建造,16112元/㎡
西区紧凑小三房双卫 鹿山轻轨站  两站机场 朝中庭,汇祥林里3000(四期),渝北空港新城兰桂大道6号,3室2厅2卫,80.4㎡,低层(共30层),2018年建造,17422元/㎡
东原锦悦 商圈附近 降价10W 精装修3房 拎包入住安心卖,东原锦悦,南岸南坪南坪东路二巷2号,3室2厅2卫,92㎡,低层(共33层),2010年建造,15870元/㎡
特优惠！千亿级商圈旁 绿地海外滩摩尔公馆 正三房 视野开阔,绿地海外滩,江北鸿恩寺鸿恩路388号,3室2厅2卫,93.4㎡,低层(共33层),2016年建造,16917元/㎡
好房子好房子看房方便,申佳上海时光,渝北回兴银梭大道1号,3室2厅2卫,92㎡,低层(共31层),2015年建造,15333元/㎡
智能家居更懂你心，轻奢精装享受生活，采光良好使您身心愉悦,万达文化旅游城御林组团,沙坪坝土主西桂路12号,3室2厅2卫,90㎡,低层(共32层),2015年建造,16112元/㎡
文旅小镇旁  轻轨站旁  周边配套成熟,万达文化旅游城御林组团,沙坪坝土主西桂路12号,3室2厅2卫,90㎡,低层(共33层),2017年建造,16112元/㎡
正规两房，业主住家装修，质量有保障，周围配套成熟，业主急售,北城国际中心,渝北龙溪龙华大道50号,2室2厅1卫,85㎡,低层(共33层),2010年建造,16824元/㎡
照母山 恒大山水城 业主诚意出售 三房 精装修,恒大照母山山水城,渝北照母山恒康路9号,3室2厅1卫,90.2㎡,低层(共32层),2000年建造,16418元/㎡
（业主急售）渝北照母山丶豪华精装修 拎包入住丶低于市场价！,北大资源博雅(4期),渝北照母山湖霞街17号,3室2厅1卫,95㎡,低层(共31层),2018年建造,20822元/㎡
业主急售 照母山正规三房 朝中庭145万,东原星樾,渝北照母山星光大道201号,3室2厅1卫,82.6㎡,低层(共33层),2017年建造,17566元/㎡
超高性价比，赠送100多平的大露台 个人    的一套房子,金悦锦城,沙坪坝磁器口金磁路4号,3室2厅2卫,98㎡,低层(共33层),2016年建造,15919元/㎡
商圈里    跃层三房  现浇已经做好,金辉优步大道,九龙坡石桥铺朝阳路227号,3室2厅2卫,93㎡,低层(共30层),2010年建造,16022元/㎡
照母山 正规三房 朝中庭 业主稳定,融创凡尔赛领馆(4期),渝北照母山星融路9号,3室2厅1卫,85㎡,低层(共33层),2019年建造,16706元/㎡
博雅正规三房 业主诚心出售 小区环境好,北大资源博雅(4期),渝北照母山湖霞街17号,3室2厅1卫,88㎡,低层(共31层),2014年建造,21364元/㎡
精装修 东 91平 电梯房,华润凯旋天地,南岸弹子石腾龙大道45号,4室2厅2卫,91.3㎡,低层(共32层),2015年建造,15886元/㎡
新房180万石桥铺商圈内环以内高端品质大平层视野好采光好,成都城投锦樾峰境,九龙坡石桥铺石美路15号,4室2厅2卫,92㎡,低层(共32层),2020年建造,19566元/㎡
南滨沿线 豪华装修 看中庭 可看江 业主挂牌,珊瑚水岸(一期),南岸南滨路南滨路28号,2室2厅1卫,96.8㎡,低层(共27层),2013年建造,18605元/㎡
精装恒大两房 视野开阔无遮挡 业主诚心出售 领包入住那种额,恒大世纪城,渝北照母山湖红路56号,2室2厅1卫,85.2㎡,低层(共32层),2016年建造,16558元/㎡
汽博保利156万  电梯房 精装修 满二  住房 采光好,保利高尔夫豪园,渝北汽博中心湖云街12号,2室2厅1卫,88.4㎡,低层(共33层),2012年建造,17648元/㎡
可以想象的空间！已经是亏本血卖了！该出手时绝不犹豫！急售！,元合悠哉悠宅,"江北南桥寺武江西路,近内环高速",3室2厅1卫,90㎡,低层(共32层),2012年建造,15561元/㎡
精装修 满二 98平 140万 南北通透 房东急置换 诚意买,富力城天禧,沙坪坝大学城大学城南路11号,3室2厅3卫,98㎡,低层(共33层),2018年建造,14286元/㎡
江北嘴CBD，恒大中央广场，正朝中庭，采光好，业主急售,恒大中央广场(一期),江北江北嘴天澜大道49号,2室2厅1卫,84.1㎡,低层(共30层),2016年建造,21409元/㎡
巴黎苑 毛坯三居室 朝中庭 住家安静舒适,奥园盘龙壹号巴黎苑,九龙坡盘龙盘金路1号,3室2厅1卫,86.4㎡,低层(共33层),2015年建造,16208元/㎡
江与城江城时光 南北通透 精装修 180万 94平 看房方便,江与城江城时光,渝北大竹林绿竹路66号,3室2厅2卫,95㎡,低层(共32层),2012年建造,18952元/㎡
3室2厅 195万 精装修 两江春城和风苑 99平 采光好,两江春城和风苑,渝北冉家坝天竺路373号,3室2厅2卫,99.6㎡,低层(共30层),2014年建造,19579元/㎡
震惊 中央公园轻轨旁 住家精装三房 楼下商圈超市 拎包入住,汇祥林里3000(四期),渝北空港新城兰桂大道6号,3室2厅2卫,80㎡,低层(共29层),2016年建造,19100元/㎡
融创嘉德领馆(一期) 满二 85平 电梯房 195万 精装修,融创嘉德领馆(一期),"渝北中央公园春华大道89号,兰桂大道168号",3室1厅1卫,85㎡,低层(共25层),2014年建造,22942元/㎡
融创文旅城精装三房双卫  高品质 户型方正 小区环境好,万达文化旅游城御林组团,沙坪坝土主西桂路12号,3室2厅2卫,90㎡,低层(共33层),2018年建造,16112元/㎡
毛坯 3室2厅 电梯房 首地江山赋 91平 145万,首地江山赋,渝北悦来悦山路5号,3室2厅1卫,91.8㎡,低层(共33层),2016年建造,15799元/㎡
紧邻天街配轻轨，龙湖源著伴一生，清水尽可随心配,龙湖源著(南区),江北南桥寺福泉路26号,2室2厅1卫,85㎡,低层(共32层),2013年建造,23295元/㎡
小区环境优雅，户型方正，采光良好，交通方便，离商圈很近,富力现代广场,南岸弹子石弹子石新街59号,2室2厅1卫,85.5㎡,低层(共30层),2015年建造,16969元/㎡
精装修 145万 东 4室2厅 电梯房,华润凯旋天地,南岸弹子石腾龙大道45号,4室2厅2卫,91.3㎡,低层(共32层),2015年建造,15886元/㎡
富力现代广场 精装两室两厅一卫 送全新家具家电 周边配套齐全,富力现代广场,南岸弹子石弹子石新街59号,2室2厅1卫,85.5㎡,低层(共33层),2015年建造,16969元/㎡
精装修 东 电梯房 91平 华润凯旋天地,华润凯旋天地,南岸弹子石腾龙大道45号,4室2厅2卫,91.3㎡,低层(共32层),2015年建造,15886元/㎡
2室2厅 145万 富力现代广场 85平 房东急置换 诚意买,富力现代广场,南岸弹子石弹子石新街59号,2室2厅1卫,85.5㎡,低层(共33层),2015年建造,16969元/㎡
精装修 华润凯旋天地 91平 电梯房,华润凯旋天地,南岸弹子石腾龙大道45号,4室2厅2卫,91.3㎡,低层(共32层),2015年建造,15886元/㎡
精装修 电梯房 4室2厅 91平,华润凯旋天地,南岸弹子石腾龙大道45号,4室2厅2卫,91.3㎡,低层(共32层),2015年建造,15886元/㎡
万科物业自营 朝中庭 业主诚心出售,万科金域学府翰林菁华里,南岸学府大道二塘路59号,3室2厅1卫,85.7㎡,低层(共27层),2018年建造,16914元/㎡
8月9号上新！鸳鸯美利山精装两房出售 朝中庭 视野,首钢美利山公园城市,渝北鸳鸯翠渝路55号,2室2厅1卫,84.3㎡,低层(共33层),2015年建造,16723元/㎡
业主安心出售 住家装修 小区环境优美 视野开阔,富力城天禧,沙坪坝大学城大学城南路11号,3室2厅3卫,98㎡,低层(共33层),2018年建造,14286元/㎡
首付48万 买袁家岗百米轻轨站金茂北区正规3房2厅,金茂珑悦(北区),九龙坡谢家湾袁家岗158号,3室2厅1卫,96㎡,低层(共32层),2016年建造,15098元/㎡
万科新出  三房 153万买家具家电齐全 核心位置,万科金色悦城(1期),沙坪坝凤天路凤鸣山300号,3室2厅1卫,94.6㎡,低层(共33层),2016年建造,16182元/㎡
照母山金州商圈旁，精装三房！,恒大世纪城,渝北照母山湖红路56号,3室2厅1卫,94㎡,低层(共31层),2017年建造,19788元/㎡
捡漏 捡漏 天际湾套三双卫特价出售只要190万,华侨城天际湾A区,渝北礼嘉悦华路9号,3室2厅1卫,91㎡,低层(共33层),2018年建造,20880元/㎡
渝富滨江首岸 跃层可做4房 增大住房面积 周边配套齐全,渝富滨江首岸,沙坪坝石井坡团结坝432号,4室2厅2卫,92.6㎡,低层(共30层),2018年建造,16098元/㎡
东原1891 全看江 自己住家保养好,东原1891,南岸南滨路南滨路80号,1室1厅1卫,86.2㎡,低层(共33层),2008年建造,17976元/㎡
1室1厅 东原1891 155万 精装修 南北通透 看房方便,东原1891,南岸南滨路南滨路80号,1室1厅1卫,86.2㎡,低层(共33层),2008年建造,17976元/㎡
豪装三房双卫 板式结构 只要153万爆赞 拎包入住 环境优美,金科中央御院(一期),南岸茶园新区永宁路19号,3室2厅2卫,98.9㎡,高层(共7层),2015年建造,15472元/㎡
九公里 曦圆青岗湾 电梯洋房 精装大阳台 拎包入住 ！,曦圆青岗湾(二期),巴南李家沱巴南大道68号,3室2厅2卫,89㎡,高层(共7层),2017年建造,16375元/㎡
急售 商圈旁轻轨站旁洋房 视野开阔闹中取静 业主换别墅了,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共7层),2018年建造,14889元/㎡
融创茂旁跃层洋房 精装修 别墅小区 配套完善 拎包入住,国盛园墅(A区),沙坪坝西永西尊路188号,3室2厅2卫,85㎡,中层(共11层),2018年建造,16471元/㎡
售中央公园钜惠品质小洋房轻轨旁近商圈,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共11层),2020年建造,14949元/㎡
繁华地段万国城正规三房双卫洋房只要145万,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2019年建造,14889元/㎡
隆鑫爱琴海 93平 140万 精装修 楼层好 视野无遮挡,隆鑫爱琴海(1期),北碚蔡家同华路78号,3室2厅1卫,93.6㎡,中层(共8层),2016年建造,14964元/㎡
珠江城A 电梯入户 豪装洋房  诚心出售 拎包入住,珠江城(A区),巴南融汇龙汇路1488号,3室2厅1卫,98.3㎡,中层(共8层),2015年建造,15777元/㎡
千威先生品质洋房 住家精装修 临商圈 附近轻轨公交,千威先生的洋房,渝北空港观月大道77号,3室2厅2卫,96.5㎡,低层(共11层),2016年建造,14510元/㎡
奥园越时代(C区)   住房 正规三房双卫 豪装 143万,奥园越时代(C区),南岸刘家坪创智路265号,3室2厅2卫,98㎡,中层(共11层),2018年建造,14643元/㎡
蔡家爱琴海，轻轨洋房小区，精装三房出售,隆鑫爱琴海(1期),北碚蔡家同华路78号,3室2厅1卫,93.6㎡,中层(共8层),2016年建造,14964元/㎡
（拒绝虚假）康田蔚蓝海洋房，价格低，户型好，朝中庭！诚心出售,康田蔚蓝海(A区),渝北照母山康景路168号,3室2厅2卫,85.1㎡,中层(共8层),2018年建造,17402元/㎡
新上金科城，全新装修三房，业主稳定置换，有钥匙随时看房,金科城59区,北碚蔡家长平路66号,3室2厅1卫,81㎡,中层(共8层),2016年建造,17284元/㎡
正南 3室2厅  奥园越时代(C区) 精装修,奥园越时代(C区),南岸刘家坪创智路265号,3室2厅2卫,84㎡,中层(共11层),2018年建造,17262元/㎡
精装修拎包入住  正规三房  商圈旁 近轻轨,龙湖U城8组团,沙坪坝大学城大学城北路99号,3室2厅1卫,82㎡,中层(共10层),2016年建造,17318元/㎡
次新小区 优美洋房 没住过人 品质装修 速来速来,保利金香槟(三区),九龙坡华岩新城华美二路9号,3室2厅2卫,97.4㎡,中层(共8层),2019年建造,14376元/㎡
业主急卖。中山三路172号没有用过，,中山三路172号小区,渝中上清寺中山三路172号,3室2厅1卫,81㎡,高层(共7层),2001年建造,18519元/㎡
首付40万买金科郡洋房，刚需三房，户型方正无浪费,美的金科郡,"沙坪坝西永西双大道147号,学城大道130号",3室2厅1卫,86㎡,中层(共8层),2019年建造,16855元/㎡
刘家坪轻轨洋房，一梯两户，南北通透，   的洋房,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2018年建造,14889元/㎡
渝北三房 全新装修 汽博中心 三号线轻轨房 双轻轨商业广场,龙脊金山名都,渝北汽博中心金渝大道83号,3室2厅1卫,88.6㎡,中层(共11层),2011年建造,16710元/㎡
精装洋房，全新装修，户型方正采光好，业主急置换,协信城立方玺院,沙坪坝大学城大学城南二路,3室2厅2卫,95.8㎡,高层(共7层),2015年建造,14614元/㎡
大学城轻轨旁，协信精装跃层洋房，    多，支持公积金，税少,协信城立方玺院,沙坪坝大学城大学城南二路,3室2厅2卫,95.8㎡,中层(共7层),2015年建造,14823元/㎡
爱琴海精装花园洋房 近轻轨出行便利 配套设施齐全 环境舒适,隆鑫爱琴海(1期),北碚蔡家同华路78号,3室2厅1卫,93.6㎡,中层(共8层),2016年建造,14964元/㎡
140万 满二 98平 电梯房 精装修 采光好 周边商圈成熟,千威先生的洋房,渝北空港观月大道77号,3室2厅2卫,98.3㎡,中层(共11层),2015年建造,14247元/㎡
茶园鲁能4街区洋房，小区环境好，业主安心卖,鲁能领秀城四街区(洋墅区),南岸茶园新区吉庆路54号,3室2厅2卫,86.4㎡,中层(共8层),2018年建造,17248元/㎡
金科十年城洋房社区 南北通透 东区 周边配套齐全 位置好,金科10年城东区,江北石马河盘溪路480号,3室2厅1卫,97.2㎡,低层(共10层),2011年建造,15955元/㎡
渝北 空港 3号线轻轨站 品质小区 千威先生的洋房带车位,千威先生的洋房,渝北空港观月大道77号,3室2厅2卫,98.3㎡,中层(共11层),2016年建造,14247元/㎡
金科洋房，低价出售，性价比超高朝南，小区环境优美,金科城59区,北碚蔡家长平路66号,3室2厅2卫,96㎡,低层(共10层),2015年建造,16146元/㎡
质的！奥园广场永辉旁 中铁万国城花园洋房三房双卫143万,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2018年建造,14684元/㎡
蔡家金科城品质花园洋房！精装大三房双卫！小区环境美丽！,金科城59区,北碚蔡家长平路66号,3室2厅2卫,94.9㎡,中层(共8层),2017年建造,15273元/㎡
金科品质小区，绿化好，户型大气，无线宽敞的露台,金科城37区,北碚蔡家嘉景大道6号,3室2厅1卫,89.2㎡,中层(共8层),2017年建造,16826元/㎡
（真） 子龙公寓 95平 145万 离轻轨近,子龙公寓,九龙坡谢家湾谢家湾正街94号,3室2厅1卫,95㎡,中层(共9层),2003年建造,15264元/㎡
奥园越时代次新盘，全新精装，朝中庭，刘家坪轻轨站，装修质保,奥园越时代(C区),南岸刘家坪创智路265号,3室2厅2卫,84㎡,中层(共11层),2019年建造,17262元/㎡
金科城59区精装洋房，三房双卫户型，装修大气保持好业主急售,金科城59区,北碚蔡家长平路66号,3室2厅2卫,94.9㎡,中层(共8层),2017年建造,15063元/㎡
中山三路正规3房户型方正采光好 平上5楼,中山三路172号小区,渝中上清寺中山三路172号,3室2厅1卫,81㎡,中层(共10层),2003年建造,18272元/㎡
子龙公寓 140万 3室2厅 95平 诚心出售 价格可议,子龙公寓,九龙坡谢家湾谢家湾正街94号,3室2厅1卫,95㎡,中层(共9层),2000年建造,14737元/㎡
业主吐血价！155万买 金科品质洋房 精装三房双卫 上11中,金科中央御院(一期),南岸茶园新区永宁路19号,3室2厅2卫,98.9㎡,高层(共6层),2015年建造,15674元/㎡
蔡家爱琴海，轻轨洋房小区，精装三房出售,隆鑫爱琴海(1期),北碚蔡家同华路78号,3室2厅1卫,93.6㎡,中层(共8层),2016年建造,14964元/㎡
[全新装修] 汽博金山名都精装三房出售 门口公交站 出行方便,龙脊金山名都,渝北汽博中心金渝大道83号,3室2厅1卫,88.6㎡,中层(共11层),2007年建造,16033元/㎡
奥园广场旁 中铁品质洋房 次新小区 近轻轨 邻天台岗 满二,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2018年建造,14889元/㎡
电梯房 97平  中国铁建万国城68号 3室2厅 楼层好,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共7层),2018年建造,14889元/㎡
万国城二期洋房，三房两卫，低于市场价，业主急售,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共6层),2019年建造,14889元/㎡
金科十年城东区 精装三房户型方正南北通透 双阳台业主诚心出售,金科10年城东区,江北石马河盘溪路480号,3室2厅1卫,97.2㎡,低层(共10层),2011年建造,15955元/㎡
金科十年城东区小高层  住家方便南北通透 小区环境好 诚售,金科10年城东区,江北石马河盘溪路480号,3室2厅1卫,97.2㎡,低层(共10层),2011年建造,15955元/㎡
中铁楼盘 146买洋房三房双卫 纯洋房别墅小区 中间楼层,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2018年建造,14992元/㎡
中铁万国城 南北通透 三房2卫 145万 近轻轨 奥园广场,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2018年建造,14889元/㎡
带车位价格。153万买精装三房双卫还带车位，业主安心卖,金科城59区,北碚蔡家长平路66号,3室2厅2卫,94.9㎡,低层(共11层),2019年建造,16116元/㎡
机会！含泪降价十万急售中铁万国城洋房！茶园CBD！出门双商圈,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共7层),2019年建造,14889元/㎡
茶园CBD 中铁万国城 临轻轨近商圈 楼下就是永辉超市,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2018年建造,14889元/㎡
近轻轨 业主急售 奥园广场旁洋房3室2厅2卫145万,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共9层),2019年建造,14889元/㎡
（真） 子龙公寓 95平 145万 离轻轨近,子龙公寓,九龙坡谢家湾谢家湾正街94号,3室2厅1卫,95㎡,中层(共9层),2003年建造,15264元/㎡
洋房急售！360万商圈一街之隔，一线中央公园，轻轨站500米,鲁能泰山7号十三街区,渝北中央公园嘉业路3号,3室2厅2卫,89.5㎡,高层(共7层),2016年建造,17652元/㎡
九公里轻轨站青岗湾精装三房两卫 电梯房 洋房 朝向好拎包入住,曦圆青岗湾(二期),巴南李家沱巴南大道68号,3室2厅2卫,89㎡,高层(共6层),2018年建造,16398元/㎡
环境不错，小区配套完善，户型方正，采光没问题，大露台,金科城37区,北碚蔡家嘉景大道6号,3室2厅1卫,89.2㎡,中层(共8层),2017年建造,16826元/㎡
电梯房 保利金香槟(三区) 精装修 97平 采光好 周边商圈,保利金香槟(三区),九龙坡华岩新城华美二路9号,3室2厅2卫,97.4㎡,低层(共10层),2017年建造,14889元/㎡
金科品质 精装三房洋房 小区环境优美性价比高配套成熟,金科城59区,北碚蔡家长平路66号,3室2厅1卫,81㎡,中层(共8层),2016年建造,17531元/㎡
内部尾房转出丶重庆八钟人和街对面丶轻轨在门口丶商业旁,香港置地衿湖翠林,"渝北中央公园公园西路,公园东路",3室2厅2卫,90㎡,中层(共8层),2019年建造,15645元/㎡
南岸茶园精装三房法蓝西洋楼拎包入住,法蓝西莊邸枫丹里,南岸茶园新区雷家桥支路2号,3室2厅1卫,83㎡,中层(共11层),2015年建造,17470元/㎡
精装修 3室2厅 140万 80平 满二 电梯房 采光好 周,国瑞爱与山(C区),大渡口双山山海路133号,3室2厅1卫,80.7㎡,中层(共8层),2014年建造,17349元/㎡
业主急售 电梯入户 精装修 品质洋房 朝中庭,珠江城(A区),巴南融汇龙汇路1488号,3室2厅1卫,98.3㎡,中层(共8层),2016年建造,16184元/㎡
轻轨门口纯洋房 业主急售 随时看房 急售就卖这周哦,协信春山台,渝北人和吉兴路9号,3室2厅2卫,80.2㎡,低层(共11层),2017年建造,18711元/㎡
首付30万万国城品质洋房，永辉200米次新小区 天台岗旁,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2019年建造,15094元/㎡
冉家坝金科洋房急售！精装修价格便宜，位置好,金科10年城东区,江北石马河盘溪路480号,3室2厅1卫,97.2㎡,低层(共10层),2011年建造,15955元/㎡
奥园越时代精装大三房朝中庭环境优美    大,奥园越时代(C区),南岸刘家坪创智路265号,3室2厅2卫,84㎡,中层(共11层),2019年建造,17262元/㎡
鲁能领秀城 平层洋房 楼层好 小区中庭,鲁能领秀城四街区(洋墅区),南岸茶园新区吉庆路54号,3室2厅2卫,86.4㎡,中层(共8层),2017年建造,16206元/㎡
正南 3室2厅  奥园越时代(C区) 精装修,奥园越时代(C区),南岸刘家坪创智路265号,3室2厅2卫,84㎡,中层(共11层),2018年建造,17262元/㎡
蔡家爱琴海，轻轨洋房小区，精装三房拎包入住，配套齐全居家安静,隆鑫爱琴海(1期),北碚蔡家同华路78号,3室2厅1卫,93.6㎡,中层(共8层),2014年建造,14964元/㎡
一套简约风格的洋房，带露台，户型方正，通透，全屋地暖,珠江城(A区),巴南融汇龙汇路1488号,3室2厅1卫,99.6㎡,中层(共8层),2017年建造,15058元/㎡
总价146起 高新区精装三室两厅两卫洋房带地暖 方正采光好,佳兆业珑樾壹号,"沙坪坝曾家大学城南二路,近思贤路",3室2厅2卫,89㎡,高层(共7层),2019年建造,16405元/㎡
南北通透，洋房社区，石桥铺半山公馆旁精装洋房，小区环境好。,半山七号,九龙坡石桥铺经纬大道1099号,3室2厅2卫,94.8㎡,中层(共6层),2012年建造,16352元/㎡
金科10年城东区 满五 3室2厅 98平 155万 诚心出售,金科10年城东区,江北石马河盘溪路480号,3室2厅1卫,98.6㎡,低层(共10层),2011年建造,15721元/㎡
寻有缘人 南北通透 带露台 你值得拥有 业主急售,金科中央御院(一期),南岸茶园新区永宁路19号,3室2厅2卫,99㎡,中层(共6层),2017年建造,14950元/㎡
140万 鲁能领秀城四街区 86平 3室2厅2卫 诚心出售,鲁能领秀城四街区(洋墅区),南岸茶园新区吉庆路54号,3室2厅2卫,86㎡,中层(共8层),2016年建造,16280元/㎡
人民 上清寺正规3房，出行方便  采光好,中山三路172号小区,渝中上清寺中山三路172号,3室2厅1卫,81㎡,中层(共8层),2000年建造,18025元/㎡
高新区科学城 微电园轻轨站旁 品质洋房 南北朝向 住家安静,美的金科郡,"沙坪坝西永西双大道147号,学城大道130号",3室2厅1卫,86㎡,中层(共8层),2018年建造,16855元/㎡
朝南 满二 3室2厅 龙脊金山名都 电梯房 采光好 周边商圈,龙脊金山名都,渝北汽博中心金渝大道83号,3室2厅1卫,88.6㎡,中层(共11层),2007年建造,16598元/㎡
茶园洋房3室2厅 143万 99平 金科中央御院(一期) 清,金科中央御院(一期),南岸茶园新区永宁路19号,3室2厅2卫,99㎡,中层(共6层),2015年建造,14445元/㎡
低于市场价10万诚心售，天台岗小xue旁 南北通透采光好,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2018年建造,14684元/㎡
精装修 隆鑫爱琴海(1期) 3室2厅 140万 电梯房 满二,隆鑫爱琴海(1期),北碚蔡家同华路78号,3室2厅1卫,93.6㎡,中层(共8层),2015年建造,14964元/㎡
电梯房 满二 3室2厅 80平 楼层好 视野无遮挡,国瑞爱与山(C区),大渡口双山山海路133号,3室2厅1卫,80.7㎡,中层(共8层),2014年建造,17349元/㎡
金科十年城 3室2厅 98平 155万 房东急售,金科10年城东区,江北石马河盘溪路480号,3室2厅1卫,98.6㎡,低层(共10层),2011年建造,15721元/㎡
3室2厅 145万 精装修 83平 法蓝西莊邸枫丹里 价可谈,法蓝西莊邸枫丹里,南岸茶园新区雷家桥支路2号,3室2厅1卫,83㎡,中层(共11层),2015年建造,17470元/㎡
轻轨800米 茶园万国城洋房 3房2卫 南北通透 出门即商圈,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2017年建造,15074元/㎡
